Date,Open,High,Low,Close
2026-06-19 00:00,4188.38,4197.75,4175.24,4180.71
2026-06-18 00:00,4257.51,4329.9,4201.35,4208.97
2026-06-17 00:00,4334.52,4382.25,4219,4257.98
2026-06-16 00:00,4311.23,4355.04,4306.01,4331.39
2026-06-15 00:00,4268.16,4369.33,4265.22,4309.28
2026-06-14 00:00,4268.16,4309.07,4265.58,4294.17
2026-06-12 00:00,4218.09,4246.39,4170.1,4216.98
2026-06-11 00:00,4070.87,4220.06,4023.75,4210.97
2026-06-10 00:00,4255.91,4257.49,4067,4071.52
2026-06-09 00:00,4330.49,4363.61,4236.64,4259.66
2026-06-08 00:00,4328.03,4353.38,4268.53,4329.9
2026-06-07 00:00,4328.03,4347.01,4309.89,4343.71
2026-06-05 00:00,4473.69,4481.57,4311.64,4327.74
2026-06-04 00:00,4436.94,4515.48,4423.77,4475.41
2026-06-03 00:00,4491.79,4496.66,4426.36,4434.3
2026-06-02 00:00,4485.52,4541.57,4462.83,4488.06
2026-06-01 00:00,4522.08,4546.29,4447.53,4484.86
2026-05-31 00:00,4522.08,4545.67,4517.99,4539.42
2026-05-29 00:00,4499.08,4595.18,4488.94,4539.83
2026-05-28 00:00,4463.03,4516.63,4366.29,4495.58
2026-05-27 00:00,4515.43,4527.83,4401.3,4456.43
2026-05-26 00:00,4571.97,4580.35,4482.45,4507.7
2026-05-25 00:00,4542.04,4580.07,4541.56,4570.87
2026-05-24 00:00,4542.04,4579.71,4542.04,4567.01
2026-05-22 00:00,4542.07,4546.07,4491.83,4506.96
2026-05-21 00:00,4546.66,4570.79,4488.66,4543
2026-05-20 00:00,4481.68,4552.82,4453.44,4543.85
2026-05-19 00:00,4568.99,4589.24,4464.82,4481.91
2026-05-18 00:00,4531.32,4584.32,4480.44,4566.31
2026-05-17 00:00,4531.32,4555.03,4528.66,4537.12
2026-05-15 00:00,4649.38,4665.29,4511.76,4538.28
2026-05-14 00:00,4692.72,4718.87,4644.24,4652.5
2026-05-13 00:00,4715.37,4726.86,4669.34,4688.95
2026-05-12 00:00,4740.33,4773.54,4638.17,4715.34
2026-05-11 00:00,4698.59,4748.65,4647.88,4734.8
