Date,Day,Open,High,Low,Close,Change,Range,Type
2024-10-04,Friday,2655.95,2670.24,2632.02,2653.84,-2.11,38.22,bearish
2024-10-03,Thursday,2658.77,2663.02,2637.02,2656.11,-2.66,26,bearish
2024-10-02,Wednesday,2661.92,2663.45,2641.18,2658.75,-3.17,22.27,bearish
2024-10-01,Tuesday,2633.53,2673.26,2633.31,2663.61,30.08,39.95,bullish
2024-09-30,Monday,2661.82,2666.05,2624.78,2634.69,-27.12,41.27,bearish
2024-09-27,Friday,2672.24,2674.38,2643.16,2658.55,-13.68,31.22,bearish
2024-09-26,Thursday,2657.74,2685.64,2654.84,2672.44,14.7,30.8,bullish
2024-09-25,Wednesday,2658.69,2670.61,2649.7,2657,-1.7,20.91,bearish
2024-09-24,Tuesday,2627.79,2664.38,2622.68,2657.26,29.47,41.7,bullish
2024-09-23,Monday,2621.36,2634.91,2613.89,2628.63,7.27,21.02,bullish
2024-09-20,Friday,2586.52,2625.79,2584.88,2622.24,35.72,40.91,bullish
2024-09-19,Thursday,2559.24,2594.95,2551.16,2586.91,27.67,43.79,bullish
2024-09-18,Wednesday,2570.32,2600.29,2546.86,2559.3,-11.02,53.43,bearish
2024-09-17,Tuesday,2582.66,2587.02,2560.78,2569.59,-13.07,26.24,bearish
2024-09-16,Monday,2578.79,2589.72,2575.25,2582.67,3.88,14.47,bullish
2024-09-13,Friday,2558.38,2586.16,2556.8,2578.72,20.34,29.36,bullish
2024-09-12,Thursday,2512.95,2560.13,2511.09,2558.66,45.71,49.04,bullish
2024-09-11,Wednesday,2516.55,2529.09,2501,2511.68,-4.87,28.09,bearish
2024-09-10,Tuesday,2506.73,2518.54,2500.19,2516.74,10.01,18.34,bullish
2024-09-09,Monday,2496.79,2507.27,2485.61,2506.4,9.61,21.65,bullish
2024-09-06,Friday,2516.46,2529.3,2485.19,2497.57,-18.89,44.11,bearish
2024-09-05,Thursday,2495.32,2523.53,2493.88,2516.82,21.49,29.64,bullish
2024-09-04,Wednesday,2492.62,2500.34,2471.92,2495.55,2.93,28.43,bullish
2024-09-03,Tuesday,2499.55,2506.35,2473.32,2492.95,-6.6,33.03,bearish
2024-09-02,Monday,2502.84,2507.33,2490.11,2499.42,-3.42,17.22,bearish
2024-08-30,Friday,2520.8,2526.93,2494.22,2503.4,-17.4,32.71,bearish
